tri_facility_id,Facility,City/State,Total releases (lbs),Fugitive air (lbs),Stack air (lbs),Water (lbs),Primary Activity
26041KMMRPRTE2,American Electric Power Kammer/Mitchell Plant,"Moundsville, West Virginia",998,0,399,0,Fossil Fuel Electric Power Generation
26134PLSNTNO1PO,Pleasants Willow Island Power Stations,"Willow Island, West Virginia",339,0,118,0,Fossil Fuel Electric Power Generation
26155PPGNDSTATE,Ppg Industries Inc,"New Martinsville, West Virginia",5214,196,37,17,Alkalies and Chlorine Manufacturing
26180DPNTWDUPON,Dupont Washington Works,"Washington, West Virginia",57,0,57,0,Plastics Material and Resin Manufacturing
26366HRRSNRTE20,Harrison Power Station,"Haywood, West Virginia",1266,0,176,0,Fossil Fuel Electric Power Generation
26505MRGNT555BE,Morgantown Energy Associates,"Morgantown, West Virginia",89,0,5,0,Fossil Fuel Electric Power Generation
26519LBRGHRTE26,Allegheny Energy Inc Albright Power Station,"Albright, West Virginia",123,0,91,0,Fossil Fuel Electric Power Generation
26527PTRTMSTATE,Patriot Mining Co Inc Guston Run South,"Cassville, West Virginia",102,0,0,0,Bituminous Coal and Lignite Surface Mining
26541CRSCNRTE10,Maidsville Complex,"Maidsville, West Virginia",2,0,0,0,Support Activities for Coal Mining
26541FRTMRRTE53,Fort Martin Power Station,"Maidsville, West Virginia",414,0,276,0,Fossil Fuel Electric Power Generation
26574MRCNBRTE17,American Bituminous Power Partners Lp,"Grant Town, West Virginia",64,0,9,0,Fossil Fuel Electric Power Generation
26739MTSTRHC76B,Dominion Mount Storm Power Station,"Mount Storm, West Virginia",1720,0,332,0,Fossil Fuel Electric Power Generation
26814GRRNDRT33,Greer Industries Inc Dba Greer Lime Co,"Riverton, West Virginia",51,0,0,0,Lime Manufacturing
27052DKNRGPINEH,Duke Energy Corp Belews Creek Steam Station,"Belews Creek, North Carolina",690,0,19,0,Fossil Fuel Electric Power Generation
27288DKNRG900SE,Duke Energy Corp Dan River Steam Station,"Eden, North Carolina",58,0,37,0,Fossil Fuel Electric Power Generation
27288MLLRB863EA,Millercoors Llc - Eden Brewery,"Eden, North Carolina",12,0,12,0,Breweries
27343RXBRS1700D,Carolina Power & Light Co - Roxboro Steam Electric Plant,"Semora, North Carolina",1352,0,140,7,Fossil Fuel Electric Power Generation
27530HFLST1677O,Carolina Power & Light Co - H  F Lee Steam Electric Plant,"Goldsboro, North Carolina",211,0,110,1,Fossil Fuel Electric Power Generation
27559CPFRS500CP,Carolina Power & Light Co  - Cape Fear Steam Electric Plant,"Moncure, North Carolina",153,0,79,1,Fossil Fuel Electric Power Generation
27565CRTNT200CE,Certainteed Corp,"Oxford, North Carolina",2,0,0,0,Asphalt Shingle and Coating Materials Manufacturing
27573MYLCT10660,Carolina Power & Light Co - Mayo Electric Generating Plant,"Roxboro, North Carolina",375,0,69,1,Fossil Fuel Electric Power Generation
27806TXSGLHIGHW,Pcs Phosphate Co Inc Aurora Div,"Aurora, North Carolina",236,0,25,0,Phosphatic Fertilizer Manufacturing
27809CGNTRRTE2S,Edgecomb Genco Llc,"Battleboro, North Carolina",2,0,2,0,Fossil Fuel Electric Power Generation
27835BRRGHINTER,Dsm Pharmaceuticals Inc,"Greenville, North Carolina",464,0,0,0,Pharmaceutical Preparation Manufacturing
27870CHMPNNORTH,Kapstone Kraft Paper Corp,"Roanoke Rapids, North Carolina",35,0,30,0,Paper (except Newsprint) Mills
27890RNKVL290PO,Roanoke Valley Energy Facility,"Weldon, North Carolina",119,0,2,0,Fossil Fuel Electric Power Generation
27922NCRST1505R,Nucor Steel Hertford County,"Cofield, North Carolina",665,0,659,1,Iron and Steel Mills
27962WYRHSTROWB,Domtar Paper Co Llc Plymouth Mill,"Plymouth, North Carolina",28,0,15,0,Paper (except Newsprint) Mills
28012DKNRG253PL,Duke Energy Corp Plant Allen,"Belmont, North Carolina",452,0,17,0,Fossil Fuel Electric Power Generation
28024DKNRGDUKEP,Cliffside Steam Station,"Mooresboro, North Carolina",191,0,91,0,Fossil Fuel Electric Power Generation
28120DKNRG175ST,Duke Energy Corp Riverbend Steam Station,"Mount Holly, North Carolina",118,0,88,0,Fossil Fuel Electric Power Generation
28120NWNGC1725D,New Ngc Inc (Dba National Gypsum Co),"Mount Holly, North Carolina",1,0,0,1,Gypsum Product Manufacturing
28146DKNRG1555D,Duke Energy Corp Buck Steam Station,"Spencer, North Carolina",108,0,81,0,Fossil Fuel Electric Power Generation
28213FLRDSHWY11,Gerdau Ameristeel - Charlotte Steel Mill,"Charlotte, North Carolina",237,0,237,0,Iron and Steel Mills
28337VDRRT2100W,Dynapar Corp Dba Danaher Controls,"Elizabethtown, North Carolina",2,1,0,0,Totalizing Fluid Meter and Counting Device Manufacturing
28358WHWTH491PO,Carolina Power & Light Co - W H Weatherspoon Plant,"Lumberton, North Carolina",66,0,34,0,Fossil Fuel Electric Power Generation
28401LVSTT801SU,Carolina Power & Light Co - L  V Sutton Electric Plant,"Wilmington, North Carolina",221,0,120,6,Fossil Fuel Electric Power Generation
28429CCDNTOFFST,Elementis Chromium Inc,"Castle Hayne, North Carolina",70,0,26,0,All Other Basic Inorganic Chemical Manufacturing
28451DPNT STATE,Dak Americas Llc Cape Fear Site,"Leland, North Carolina",23,0,7,1,Petrochemical Manufacturing
28456FDRLPRIEGE,International Paper Riegelwood Mill,"Riegelwood, North Carolina",17,0,12,1,Pulp Mills
28461CGNTR1281C,Cpi Usa North Carolina Llc,"Southport, North Carolina",16,0,0,0,Fossil Fuel Electric Power Generation
28533SDDSMNCHWY,Us Marine Corps Cherry Point,"Cherry Point, North Carolina",7,0,6,0,National Security
28682DKNRG8320E,Marshall Steam Station,"Terrell, North Carolina",933,0,49,0,Fossil Fuel Electric Power Generation
28704SHVLL200CP,Carolina Power & Light Co-Asheville Plant,"Arden, North Carolina",315,0,19,0,Fossil Fuel Electric Power Generation
28716CHMPNMAINS,Blue Ridge Paper Products Inc (Dba Evergreen Packaging),"Canton, North Carolina",113,0,46,0,Paper (except Newsprint) Mills
29038STHCR405TE,South Carolina Electric & Gas Co Cope Station,"Cope, South Carolina",181,0,35,0,Fossil Fuel Electric Power Generation
29044NNCMPROUTE,International Paper Co Eastover Mill,"Eastover, South Carolina",37,0,20,0,Paper (except Newsprint) Mills
29044STHCR142WA,Wateree Station - Sce& G,"Eastover, South Carolina",41,0,33,0,Fossil Fuel Electric Power Generation
29059SNTCMSCHWY,Holcim (Us) Inc Holly Hill Plant,"Holly Hill, South Carolina",72,0,71,0,Cement Manufacturing
29212MCMKN2000N,Mcmeekin Station,"Columbia, South Carolina",20,0,19,0,Fossil Fuel Electric Power Generation
29411WSTVC5600A,Kapstone Charleston Kraft Llc,"North Charleston, South Carolina",84,0,9,1,Paper (except Newsprint) Mills
29433CNDYSHWY61,Canadys Station,"Canadys, South Carolina",95,0,46,0,Fossil Fuel Electric Power Generation
29436CRSSG553CR,Cross Generating Station,"Pineville, South Carolina",236,0,76,1,Fossil Fuel Electric Power Generation
29440WNYHG661ST,Winyah Generating Station,"Georgetown, South Carolina",144,0,65,0,Fossil Fuel Electric Power Generation
29442NTRNTKAMIN,International Paper Georgetown Mill,"Georgetown, South Carolina",11,0,6,0,Pulp Mills
29445WLLMS2242B,Genco Williams Station,"Goose Creek, South Carolina",174,0,86,0,Fossil Fuel Electric Power Generation
29448BLCRC463JU,Lafarge Building Materials Inc,"Harleyville, South Carolina",51,0,51,0,Cement Manufacturing
29448GNTCMPOBOX,Giant Cement Co,"Harleyville, South Carolina",60,0,60,0,Cement Manufacturing
29450NCRST1455H,Nucor Steel-Berkeley,"Huger, South Carolina",377,1,374,1,Iron and Steel Mills
29461JFFRSPOWER,Jefferies Generating Station,"Moncks Corner, South Carolina",40,0,39,0,Fossil Fuel Electric Power Generation
29502STNCNOLDGE,Smurfit-Stone Container Corp,"Florence, South Carolina",240,0,6,0,Paperboard Mills
29512WLLMTHWY91,Domtar Paper Co,"Bennettsville, South Carolina",9,0,9,0,Pulp Mills
29526GRNGR1605M,Grainger Generating Station,"Conway, South Carolina",19,0,17,0,Fossil Fuel Electric Power Generation
29532NCRSTBOX52,Nucor Darlington,"Darlington, South Carolina",275,0,273,0,Iron and Steel Mills
29550HBRBN3512L,Carolina Power & Light Co - H  B Robinson S E P,"Hartsville, South Carolina",63,0,54,0,Fossil Fuel Electric Power Generation
29550SNCPRNORTH,Sonoco Products Co,"Hartsville, South Carolina",7,0,0,0,Paperboard Mills
29669DKNRGHWYS4,Duke Energy Corp Lee Steam Station,"Belton, South Carolina",96,0,72,0,Fossil Fuel Electric Power Generation
29704BWTRC5300C,Abibow Us Inc Catawba Operations,"Catawba, South Carolina",47,0,33,0,Newsprint Mills
29802SDSVNSCHWY,Us Doe Savannah River Ops,"Aiken, South Carolina",275,0,195,11,National Security
2981WHRSHD941TE,Horsehead Corp,"Barnwell, South Carolina",77,0,77,0,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
29841RQHRT100UR,South Carolina Gas & Electric Urquhart Generation Station,"Beech Island, South Carolina",33,0,23,0,Fossil Fuel Electric Power Generation
30080MCDNG5551S,Mcdonough/Atkinson Steam Electric Generating Plant,"Smyrna, Georgia",79,0,69,0,Fossil Fuel Electric Power Generation
30120BWNST317CO,Bowen Steam Electric Generating Plant,"Cartersville, Georgia",1043,0,209,0,Fossil Fuel Electric Power Generation
30120TLNTCPEEPL,Gerdau Ameristeel Cartersville Steel Mill,"Cartersville, Georgia",213,0,212,0,Iron and Steel Mills
30129HMMND5963A,Hammond Steam Electric Generating Plant,"Rome, Georgia",178,0,61,0,Fossil Fuel Electric Power Generation
30162NLNDR238MA,Temple-Inland Rome Linerboard Mill,"Rome, Georgia",23,0,19,1,Paperboard Mills
30170WNSLYGEORG,Wansley Steam Electric Generating Plant,"Carrollton, Georgia",477,0,68,0,Fossil Fuel Electric Power Generation
30213PRXTC500BO,Porex Corp,"Fairburn, Georgia",18,0,0,0,Unlaminated Plastics Profile Shape Manufacturing
30263YTSST708DY,Yates Steam Electric Generating Plant,"Newnan, Georgia",421,0,222,0,Fossil Fuel Electric Power Generation
30269GSRFN200SI,Gs Roofing Products Co Inc,"Peachtree City, Georgia",1,0,0,0,Asphalt Shingle and Coating Materials Manufacturing
30613CRTNT425AT,Certainteed Corp,"Athens, Georgia",3,0,1,0,Mineral Wool Manufacturing
30720CSTMC204WE,Universal Textile Technologies,"Dalton, Georgia",2,0,0,0,Carpet and Rug Mills
30903CLMBN23COL,Pcs Nitrogen Fertilizer Lp,"Augusta, Georgia",6,0,5,1,Nitrogenous Fertilizer Manufacturing
30913FDRLPHIGHW,International Paper - Augusta Mill,"Augusta, Georgia",35,0,21,1,Paperboard Mills
30913LNGST2402L,Olin Corp,"Augusta, Georgia",212,138,7,6,Alkalies and Chlorine Manufacturing
31013STHDW2720H,Cemex Southeast Llc,"Clinchfield, Georgia",12,0,12,0,Cement Manufacturing
31046SCHRR10986,Scherer Steam Electric Generating Plant,"Juliette, Georgia",1497,0,237,0,Fossil Fuel Electric Power Generation
31061BRNCHUSHWY,Branch Steam Electric Generating Plant,"Milledgeville, Georgia",353,0,227,0,Fossil Fuel Electric Power Generation
31206MCNKR4891M,Graphic Packaging International Inc,"Macon, Georgia",32,0,22,0,Paperboard Mills
31326FRTHWROUTE,Georgia-Pacific Consumer Products Lp - Savannah River Mill,"Rincon, Georgia",5,0,5,0,Pulp Mills
31326SVNNHHWY27,Mcintosh Electric Generating Plant,"Rincon, Georgia",17,0,16,0,Fossil Fuel Electric Power Generation
31402NNCMPWESTL,International Paper Co - Savannah Complex,"Savannah, Georgia",33,0,26,0,Paper (except Newsprint) Mills
31407SVNNHCROSS,Kraft Steam Electric Generating Plant,"Port Wentworth, Georgia",54,0,48,0,Fossil Fuel Electric Power Generation
31521BRNSW14W9T,Brunswick Cellulose Inc,"Brunswick, Georgia",18,0,6,2,Pulp Mills
31545TTRYNSAVAN,Rayonier Performance Fibers Jesup Mill,"Jesup, Georgia",33,0,17,16,Pulp Mills
31732GRTSTHIGHW,Georgia Pacific Cedar Springs Llc,"Cedar Springs, Georgia",74,0,22,0,Paperboard Mills
32008SWNNM5117U,Suwannee American Cement,"Branford, Florida",51,0,51,0,Cement Manufacturing
32034CNTNRNORTH,Smurfit-Stone Container Enterprises Inc,"Fernandina Beach, Florida",1289,0,27,0,Paperboard Mills
32078GRGPCSTATE,Georgia-Pacific Consumer Operations Llc,"Palatka, Florida",14,0,6,0,Pulp Mills
32091DPNTCSTATE,Dupont Chemicals Starke Facility,"Starke, Florida",1,0,0,0,All Other Metal Ore Mining
32096CCDNTSTATE,Pcs Phosphate White Springs,"White Springs, Florida",446,0,3,0,Phosphatic Fertilizer Manufacturing
32131FPLPTUS17S,Florida Power & Light Co Putnam Power Plant,"East Palatka, Florida",43,0,43,0,Fossil Fuel Electric Power Generation
32177SMNLGUSHWY,Seminole Generating Station,"Palatka, Florida",611,0,95,1,Fossil Fuel Electric Power Generation
3217WLFRGN886NR,Lafarge North America,"Palatka, Florida",62,0,62,0,Gypsum Product Manufacturing
32218CDRBY9640E,Cedar Bay Generating Co Lp,"Jacksonville, Florida",129,0,3,0,Fossil Fuel Electric Power Generation
32218SMNLK9469E,Smurfit-Stone Container Enterprises Inc,"Jacksonville, Florida",1295,0,0,0,Paperboard Mills
32226STJHN11201,St Johns River Power Park/Northside Generating Station,"Jacksonville, Florida",560,0,99,3,Fossil Fuel Electric Power Generation
32234FLRDSHWY21,Gerdau Ameristeel Inc  Jacksonville Steel Mill Div,"Jacksonville, Florida",132,0,131,0,Iron and Steel Mills
32305NYXSP342MA,Veolia Es Technical Solutions Llc,"Tallahassee, Florida",4,0,1,0,Hazardous Waste Treatment and Disposal
32401STNCN1EVER,Smurfit-Stone Container Corp,"Panama City, Florida",22,0,3,0,Pulp Mills
32402RZNCHEVERE,Arizona Chemical,"Panama City, Florida",2,0,2,0,Gum and Wood Chemical Manufacturing
32409GLFPW4300H,Gulf Power Co Plant Lansing Smith,"Southport, Florida",139,0,110,0,Fossil Fuel Electric Power Generation
32514GLFPW11999,Gulf Power Co - Plant Crist,"Pensacola, Florida",405,0,63,0,Fossil Fuel Electric Power Generation
32533CHMPN375MU,International Paper Pensacola Mill,"Cantonment, Florida",22,0,17,2,Paper (except Newsprint) Mills
32653GNSVL10001,Gainesville Regional Utilities Deerhaven Generating Station,"Gainesville, Florida",4,0,2,0,Fossil Fuel Electric Power Generation
32669FLRDR4000N,Florida Rock Industries Inc-Thompson S Baker Cement Plant,"Newberry, Florida",57,0,57,0,Cement Manufacturing
32831STNTN5100S,Stanton Energy Center,"Orlando, Florida",335,0,187,0,Electric Bulk Power Transmission and Control
33004FLRDPGRIFF,Fpl Lauderdale Power Plant,"Fort Lauderdale, Florida",107,0,107,0,Fossil Fuel Electric Power Generation
33035TRKYP9700S,Florida Power & Light Co Turkey Point Power Plant,"Homestead, Florida",22,0,22,0,Fossil Fuel Electric Power Generation
33178TRMCP11000,Tarmac Pennsuco Complex,"Medley, Florida",93,0,93,0,Cement Manufacturing
33182CSRMR1200N,Cemex Miami,"Miami, Florida",60,0,60,0,Cement Manufacturing
33316FPLPR8100E,Fpl Port Everglades Power Plant,"Fort Lauderdale, Florida",38,0,38,0,Fossil Fuel Electric Power Generation
33440NTDSTSOUTH,Us Sugar Corp Water Treatment Plant,"Clewiston, Florida",21,0,21,0,Sugarcane Mills
3347WWSTCN255ST,West County Energy Center,"Loxahatchee, Florida",132,0,131,0,Fossil Fuel Electric Power Generation
33534GRDNRHIGHW,Mosaic Fertilizer Llc - Riverview,"Riverview, Florida",2500,0,0,0,Phosphatic Fertilizer Manufacturing
3353WSPRTN13151,Separation Technologies Llc,"Gibsonton, Florida",43,0,0,0,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
33572TMPLC13031,Tampa Electric Co Big Bend Power Station,"Apollo Beach, Florida",93,0,82,0,Fossil Fuel Electric Power Generation
3358WMRCNC475EA,American Cement Co Llc,"Sumterville, Florida",23,0,23,0,Cement Manufacturing
33805CDMCN3030E,Cd Mcintosh Jr Power Plant,"Lakeland, Florida",23,0,10,2,Fossil Fuel Electric Power Generation
33830WRGRCHIGHW,Mosaic Fertilizer Llc - Bartow,"Bartow, Florida",2400,0,0,0,Phosphatic Fertilizer Manufacturing
33860MCFRTHIGHW,Mosaic Fertilizer Llc - New Wales Plant,"Mulberry, Florida",5805,0,5,0,Phosphatic Fertilizer Manufacturing
33860TMPLC9995S,Tampa Electric Co Polk Power Station,"Mulberry, Florida",11,0,10,1,Fossil Fuel Electric Power Generation
33916HFSCN3052M,Fort Myers Power Plant,"Fort Myers, Florida",181,0,181,0,Fossil Fuel Electric Power Generation
34219FPLMN19050,Florida Power & Light Co Fpl Manatee Power Plant,"Parrish, Florida",22,0,15,0,Fossil Fuel Electric Power Generation
34428FLRDP15760,Florida Power Corp Crystal River Energy Complex,"Crystal River, Florida",631,0,370,0,Fossil Fuel Electric Power Generation
34601FLRDC10311,Cemex Constr Materials Fl Llc,"Brooksville, Florida",89,0,89,0,Fossil Fuel Electric Power Generation
34956MRTNPSR710,Martin Power Plant,"Indiantown, Florida",28,0,28,0,Fossil Fuel Electric Power Generation
34956NDNTW19140,Indiantown Cogeneration Lp,"Indiantown, Florida",92,0,25,0,Fossil Fuel Electric Power Generation
35006CVLNG529MU,Covol Engineered Fuels Lc Cef3,"Adger, Alabama",28,1,0,0,Bituminous Coal and Lignite Surface Mining
35006SSTLM8800O,Oak Grove Resources Llc-Conco Rd Prep Plant/Oak Grove Mine,"Adger, Alabama",136,0,0,0,Bituminous Coal Underground Mining
35023NTDST2023S,Us Pipe & Foundry Co,"Bessemer, Alabama",73,0,33,0,Iron Foundries
35040BLCRC8039H,Lafarge Building Materials Inc - Roberta Plant,"Calera, Alabama",38,0,38,0,Cement Manufacturing
35040CHMCL2885H,Chemical Lime Co Of Alabama Llc,"Calera, Alabama",26,0,8,0,Lime Manufacturing
35040PKLMN8039H,Unimin Lime Corp (Dba Southern Lime Co),"Calera, Alabama",4,0,1,0,Lime Manufacturing
35044SPLPNALABA,Abibow Us Inc Coosa Pines Facility,"Coosa Pines, Alabama",39,0,31,0,Newsprint Mills
35064SSFRFVALLE,Uss Fairfield Works,"Fairfield, Alabama",15,0,3,3,Iron and Steel Mills
35094LHGHP8002N,Lehigh Cement Co Llc,"Leeds, Alabama",43,0,43,0,Cement Manufacturing
35115CHMCL7444S,Chemical Lime Co Of Alabama Llc,"Calera, Alabama",52,0,9,0,Lime Manufacturing
35130LBMPW4250P,Miller Steam Plant,"Quinton, Alabama",1200,0,1037,0,Fossil Fuel Electric Power Generation
35131NTNLC80NAT,National Cement Co Of Alabama Inc,"Ragland, Alabama",37,1,36,0,Cement Manufacturing
35137DRVLM599HW,Carmeuse Lime & Stone Inc,"Saginaw, Alabama",26,0,9,0,Lime Manufacturing
35186LBMPWHWY25,Gaston Steam Plant,"Wilsonville, Alabama",748,0,545,0,Fossil Fuel Electric Power Generation
35207MRCNC2930N,American Cast Iron Pipe Co,"Birmingham, Alabama",47,4,36,0,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
35207NTDST30003,Us Pipe & Foundry Co,"Birmingham, Alabama",7,0,3,0,Iron Foundries
35212SMSTLPOBOX,Smi Steel Inc,"Birmingham, Alabama",147,2,145,0,Iron and Steel Mills
35234BRMNG4301F,Nucor Steel Birmingham Inc,"Birmingham, Alabama",64,1,62,0,Iron and Steel Mills
35401HNTRF1855F,Hunt Refining Co A Corp,"Tuscaloosa, Alabama",20,4,16,0,Petroleum Refineries
35404TSCLS1500H,Nucor Steel Tuscaloosa Inc,"Tuscaloosa, Alabama",333,0,289,0,Iron and Steel Mills
35444GRNFL14961,Covol Fuels No5 Llc - Greenfuels Plant,"Brookwood, Alabama",46,0,0,0,Bituminous Coal and Lignite Surface Mining
3544WCVLNG1318C,Covol Engineered Fuels Lc Cef5,"Brookwood, Alabama",38,1,0,0,Bituminous Coal and Lignite Surface Mining
3544WCVLNG14155,Covol Engineered Fuels Lc Cef4,"Brookwood, Alabama",81,1,0,0,Bituminous Coal and Lignite Surface Mining
35459CHMCLHWY17,Chemical Waste Management,"Emelle, Alabama",2,0,0,0,Hazardous Waste Treatment and Disposal
35580LBMPW460GO,Gorgas Steam Plant,"Parrish, Alabama",790,0,345,0,Fossil Fuel Electric Power Generation
35601MNSNTCOURT,Ascend Performance Materials Llc - Decatur Plant,"Decatur, Alabama",27,0,16,0,All Other Basic Organic Chemical Manufacturing
35603TRCST4301H,Nucor Steel Decatur Llc,"Trinity, Alabama",358,0,353,0,Iron and Steel Mills
35618CHMPNPOBOX,International Paper Courtland Mill,"Courtland, Alabama",33,0,8,0,Paper (except Newsprint) Mills
35660CCDNTPOBOX,Occidental Chemical Corp,"Muscle Shoals, Alabama",206,0,0,1,Alkalies and Chlorine Manufacturing
35674STVCL900CO,Us Tva Colbert Fossil Plant,"Tuscumbia, Alabama",222,0,180,0,Fossil Fuel Electric Power Generation
35740NTDST1DJNT,Us Gypsum Bridgeport,"Bridgeport, Alabama",3,1,0,0,Gypsum Product Manufacturing
35772MDCNTHIGHW,Rocktenn,"Stevenson, Alabama",356,0,4,0,Paper (except Newsprint) Mills
35772STVWDCOUNT,Us Tva Widows Creek Fossil Plant,"Stevenson, Alabama",387,0,77,0,Fossil Fuel Electric Power Generation
35903LBMPW1000G,Gadsden Steam Plant,"Gadsden, Alabama",80,0,76,0,Fossil Fuel Electric Power Generation
36067NNCMP100JE,International Paper,"Prattville, Alabama",17,0,12,0,Paperboard Mills
36470LBMRVOFFHI,Alabama River Cellulose Llc,"Perdue Hill, Alabama",24,0,12,1,Pulp Mills
36505PSCST12400,Ssab Alabama Inc,"Axis, Alabama",325,0,323,0,Iron and Steel Mills
36512LBMPWUSHWY,Barry Steam Plant,"Bucks, Alabama",256,0,196,0,Fossil Fuel Electric Power Generation
36548CHRLSCARSO,Charles R Lowman Power Plant,"Leroy, Alabama",118,0,39,5,Fossil Fuel Electric Power Generation
36571LLPTRINDUS,Shell Chemical Lp (Mobile Site ),"Saraland, Alabama",10,0,0,0,Petroleum Refineries
36590DLBSC3051H,Holcim (Us) Inc - Theodore A L Plant,"Theodore, Alabama",21,0,20,0,Ground or Treated Mineral and Earth Manufacturing
36610MBLNR77BAY,Mobile Energy Services Llc,"Mobile, Alabama",508,0,22,0,Other Electric Power Generation
36701HMMRMRIVER,International Paper - Riverdale Mill,"Selma, Alabama",59,0,8,49,Paper (except Newsprint) Mills
36732LBMPWHWY43,Greene County Steam Plant,"Forkland, Alabama",551,0,486,0,Fossil Fuel Electric Power Generation
36732MDSCT1617A,Cemex Inc -Demopolis Plant,"Demopolis, Alabama",137,0,137,0,Cement Manufacturing
3676WNTRNT76HIG,International Paper Pine Hill Mill,"Pine Hill, Alabama",15,0,15,0,Paper (except Newsprint) Mills
36868MDCTDALABA,Meadwestvaco Coated Board Inc,"Cottonton, Alabama",21,0,11,7,Paper (except Newsprint) Mills
36916JMSRVROUTE,Georgia-Pacific Consumer Products Lp,"Pennington, Alabama",26,0,14,0,Pulp Mills
37040SVGZN1800Z,Nyrstar Clarksville Inc,"Clarksville, Tennessee",3,0,0,0,Lead Ore and Zinc Ore Mining
37050STVCM815CU,Us Tva Cumberland Fossil Plant,"Cumberland City, Tennessee",504,0,120,77,Fossil Fuel Electric Power Generation
37066STVGL1499S,Us Tva Gallatin Fossil Plant,"Gallatin, Tennessee",346,0,280,1,Fossil Fuel Electric Power Generation
37134DPNTJ1DUPO,Dupont Johnsonville Plant,"New Johnsonville, Tennessee",28,0,1,0,Inorganic Dye and Pigment Manufacturing
37134NLNDCCONAL,Temple-Inland,"Waverly, Tennessee",273,0,29,230,Paperboard Mills
37134STVJH535ST,Us Tva Johnsonville Fossil Plant,"New Johnsonville, Tennessee",530,0,260,0,Fossil Fuel Electric Power Generation
37309BWTRSROUTE,Abibow Us Inc - Calhoun Operations,"Calhoun, Tennessee",17,0,8,2,Newsprint Mills
37310LNCRPLOWER,Olin Corp Charleston Plant,"Charleston, Tennessee",592,305,53,6,Alkalies and Chlorine Manufacturing
37405SGNLM1201S,Signal Mountain Cement Co Dba Buzzi Unicem Usa,"Chattanooga, Tennessee",16,0,16,0,Cement Manufacturing
37415NVSTS451NA,Invista Sa Rl,"Chattanooga, Tennessee",14,0,13,1,Plastics Material and Resin Manufacturing
37662MDPPRPOBOX,Domtar Paper Co Llc Kingsport Mill,"Kingsport, Tennessee",8,0,5,0,Paper (except Newsprint) Mills
37662TNNSSEASTM,Eastman Chemical Co Tennessee Operations,"Kingsport, Tennessee",653,1,118,8,Plastics Material and Resin Manufacturing
37701LMNMCPOBOX,Alcoa,"Alcoa, Tennessee",37,0,12,0,Primary Aluminum Production
37716STVBL1265E,Us Tva Bull Run Fossil Plant,"Clinton, Tennessee",265,0,39,0,Fossil Fuel Electric Power Generation
37763DVRSF657GA,Diversified Scientific Service S Inc (Dssi),"Kingston, Tennessee",49,0,1,0,Hazardous Waste Treatment and Disposal
37763STVKNSWANP,Us Tva Kingston Fossil Plant,"Harriman, Tennessee",209,0,110,0,Fossil Fuel Electric Power Generation
37774STLYMROUTE,Tate & Lyle Loudon,"Loudon, Tennessee",34,0,1,0,Wet Corn Milling
37779GLBLS486CL,O-N Minerals Luttrell Operation,"Luttrell, Tennessee",5,0,3,0,Lime Manufacturing
37830DRTKB1560B,Energysolutions Bear Creek Facility,"Oak Ridge, Tennessee",565,0,0,0,Other Nonhazardous Waste Treatment and Disposal
37830MTRLSETENN,Materials & Energy Corp,"Oak Ridge, Tennessee",3070,0,0,0,Hazardous Waste Treatment and Disposal
37831SDKRDBEARC,Nnsa Y-12 National Security Complex,"Oak Ridge, Tennessee",13,0,1,2,All Other Miscellaneous Fabricated Metal Product Manufacturing
37854HRSHDENDOF,Horsehead Corp,"Rockwood, Tennessee",181,0,181,0,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
37857STVJHOLDHW,Us Tva John Sevier Fossil Plant,"Rogersville, Tennessee",306,0,250,0,Fossil Fuel Electric Power Generation
37874GMTRNNEWHW,Schott Gemtron,"Sweetwater, Tennessee",27,0,0,0,Glass Product Manufacturing Made of Purchased Glass
37921FLRDS1919T,Gerdau Ameristeel Knoxville,"Knoxville, Tennessee",86,0,86,0,Iron and Steel Mills
38012HYWDC751DU,Haywood Co,"Brownsville, Tennessee",19,0,7,0,Custom Compounding of Purchased Resins
38054PLLTN5485T,Tradebe Treatment & Recycling Of Tennessee Llc,"Millington, Tennessee",784,0,0,0,Hazardous Waste Treatment and Disposal
38109BRMNG3601P,Nucor Steel Memphis Inc,"Memphis, Tennessee",119,1,116,0,Iron and Steel Mills
38109MPCPT543WE,Valero Refining Co - Tennessee Llc,"Memphis, Tennessee",11,0,6,0,Petroleum Refineries
38109STVLL2574P,Us Tva Allen Fossil Plant,"Memphis, Tennessee",232,0,190,5,Fossil Fuel Electric Power Generation
38113CRGLL2330B,Cargill Inc,"Memphis, Tennessee",11,0,5,0,Wet Corn Milling
38127DPNTM2571F,Dupont Memphis Plant,"Memphis, Tennessee",7,0,1,0,All Other Basic Inorganic Chemical Manufacturing
38305FLRDSUSHIG,Gerdau Ameristeel,"Jackson, Tennessee",4,0,0,0,Iron and Steel Mills
38326TNNSSHIGHW,Packaging Corp Of America Counce Mill,"Counce, Tennessee",8,0,6,1,Paperboard Mills
38901NWSPRPAPER,Bowater Newsprint South Operations Llc,"Grenada, Mississippi",54,0,2,0,Newsprint Mills
39180NTRNTPOBOX,International Paper - Vicksburg Mill,"Redwood, Mississippi",10,0,3,0,Paperboard Mills
